title,artist,peakPos,rank
Smooth Criminal,Alien Ant Farm,23,83
Where I Come From,Alan Jackson,34,94
Angry All The Time,Tim McGraw,38,87
Feelin' On Yo Booty,R. Kelly,36,92
Raise Up,Petey Pablo,25,50
What If,Babyface,80,97
Who We Be,DMX,60,100
Crawling,Linkin Park,79,94
Diddy,P. Diddy Featuring The Neptunes,66,95
Every Other Time,LFO,44,99
Fat Lip,Sum 41,66,100
Freedom,Paul McCartney,97,97
Hit 'Em Up Style (Oops!),Blu Cantrell,2,46
Angels In Waiting,Tammy Cochran,73,100
Be Like That,3 Doors Down,24,49
I Would've Loved You Anyway,Trisha Yearwood,44,91
Where The Party At,Jagged Edge With Nelly,3,46
Bad Day,Fuel,64,99
Fill Me In,Craig David,15,47
Izzo (H.O.V.A.),JAY-Z,8,65
Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,2,44
On A Night Like This,Trick Pony,47,78
Take You Out,Luther Vandross,26,95
What's Going On,All Star Tribute,27,94
Can't Deny It,Fabolous Featuring Nate Dogg,25,59
I'm A Believer,Smash Mouth,25,92
I'm A Thug,Trick Daddy,17,88
One Minute Man,"Missy ""Misdemeanor"" Elliott",15,46
Only In America,Brooks & Dunn,33,53
Ballin' Out Of Control,Jermaine Dupri Featuring Nate Dogg,95,98
Castles In The Sky,Ian Van Dahl Featuring Marsha,91,99
U Remind Me,Usher,1,44
Contagious,The Isley Brothers Featuring Ronald Isley,19,100
Set It Off,Juvenile,65,98
The Way,Jill Scott,60,88
When God-Fearin' Women Get The Blues,Martina McBride,64,99
Drive,Incubus,9,48
I'll Fly With You (L'amour Toujours),Gigi D'Agostino,78,96
Just In Case,Jaheim,52,83
Area Codes,Ludacris Featuring Nate Dogg,24,92
Clint Eastwood,Gorillaz,57,94
Flavor Of The Weak,American Hi-Fi,41,97
Schism,Tool,67,83
Someone To Call My Lover,Janet,3,52
I'm Just Talkin' About Tonight,Toby Keith,27,80
Peaches & Cream,112,4,48
When It's Over,Sugar Ray,13,41
Where The Blacktop Ends,Keith Urban,35,91
All Or Nothing,O-Town,3,48
Because I Got High,Afroman,13,100
Follow Me,Uncle Kracker,5,50
Here's To The Night,Eve 6,30,79
I Wanna Be Bad,Willa Ford,22,93
Start The Commotion,The Wiseguys,31,91
The Space Between,Dave Matthews Band,22,47
When I Think About Angels,Jamie O'Neal,35,82
Bad Boy For Life,"P. Diddy, Black Rob & Mark Curry",33,85
Bootylicious,Destiny's Child,1,98
Girl Next Door,Musiq Soulchild Featuring Ayana,85,97
John Doe,Public Announcement Featuring LeLe,95,100
Music,Erick Sermon Featuring Marvin Gaye,22,93
Six-Pack Summer,Phil Vassar,56,96
What I Really Meant To Say,Cyndi Thomson,26,41
Austin,Blake Shelton,18,41
More Than That,Backstreet Boys,27,96
Shine,"Lil' Wayne Featuring Baby, Mack 10 & Mickey",96,98
Thank You,Dido,3,50
There You'll Be,Faith Hill,10,85
We Need A Resolution,Aaliyah Featuring Timbaland,59,100
Irresistible,Jessica Simpson,15,88
My Projects,Coo Coo Cal,81,97
Purple Hills,D12,19,94
What It Is,Violator Featuring Busta Rhymes,63,100
What Would You Do?,City High,8,43
Downtime,Jo Dee Messina,46,89
Laredo,Chris Cagle,60,96
Loverboy,Mariah Carey Featuring Cameo,2,95
Sandstorm,Darude,83,94
She's All I Got,Jimmy Cozier,26,97
The Rock Show,Blink-182,71,100
This Is Me,Dream,39,90
Can't Believe,Faith Evans Featuring Carl Thomas,56,97
I'm Already There,Lonestar,24,48
Mad Season,matchbox twenty,48,99
Wait A Minute,Ray J Featuring Lil' Kim,30,95
While You Loved Me,Rascal Flatts,60,98
Bia' Bia',"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",94,100
Ghetto Girls,Lil Bow Wow,91,98
Pop,'N Sync,19,99
Ride Wit Me,Nelly Featuring City Spud,3,39
Angel,Lionel Richie,70,97
"Baby, Come Over (This Is Our Night)",Samantha Mumba,49,99
Don't Mess With The Radio,Nivea,90,96
I Could Not Ask For More,Sara Evans,35,82
Why They Call It Falling,Lee Ann Womack,78,91
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",1,58
She Couldn't Change Me,Montgomery Gentry,37,49
Superwoman Pt. II,Lil' Mo Featuring Fabolous,11,50
Two People Fell In Love,Brad Paisley,51,97
Fiesta,R. Kelly Featuring Jay-Z,6,50
La Bomba,Azul Azul,70,94
Miss California,Dante Thomas Featuring Pras,85,97
My Baby,Lil' Romeo,3,99
Play,Jennifer Lopez,18,89
Right Where I Need To Be,Gary Allan,42,93
There She Goes,Babyface,31,98
When Somebody Loves You,Alan Jackson,52,96
All For You,Janet,1,49
Grown Men Don't Cry,Tim McGraw,25,77
I Like Them Girls,Tyrese,48,97
I'm Like A Bird,Nelly Furtado,9,48
If You Can Do Anything Else,George Strait,51,100
I Cry,Ja Rule Featuring Lil' Mo,40,86
I Hope You Dance,Lee Ann Womack,14,48
If You're Gone,matchbox twenty,5,47
Just A Baby Boy,Snoop Dogg Featuring Tyrese & Mr. Tan,90,90
Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",50,96
Maybe I Deserve,Tank,38,99
Midwest Swing,St. Lunatics,88,95
My Way,Limp Bizkit,75,100
Survivor,Destiny's Child,2,86
Ain't Nothing 'Bout You,Brooks & Dunn,25,57
Don't Happen Twice,Kenny Chesney,26,63
Heard It All Before,Sunshine Anderson,18,69
Let's Get It,"Three The... G. Dep, P. Diddy & Black Rob",80,97
Take It To Da House,Trick Daddy Featuring The SNS Express,50,79
Until The End Of Time,2Pac,52,100
Yellow,Coldplay,48,94
Dream On,Depeche Mode,85,94
If I Fall You're Going Down With Me,Dixie Chicks,38,96
It's A Great Day To Be Alive,Travis Tritt,33,61
Never Had A Dream Come True,S Club 7,10,62
Oochie Wally,QB Finest Featuring Nas & Bravehearts,26,93
Playas Gon' Play,3LW,81,90
"So Fresh, So Clean",OutKast,30,81
Angel,Shaggy Featuring Rayvon,1,49
Look At Us,Sarina Paris,59,100
Love,Musiq Soulchild,24,50
Missing You,Case,4,47
South Side,Moby Featuring Gwen Stefani,14,46
What It Feels Like For A Girl,Madonna,23,97
Get Over Yourself,Eden's Crush,8,98
Mrs. Steven Rudy,Mark McGuinn,44,100
Stutter,Joe Featuring Mystikal,1,44
Again,Lenny Kravitz,4,47
Imitation Of Life,R.E.M.,83,99
Loaded,Ricky Martin,97,100
Put It On Me,Ja Rule Featuring Lil' Mo & Vita,8,48
A Long Walk,Jill Scott,43,90
Best I Ever Had (Grey Sky Morning),Vertical Horizon,58,100
Bizounce,Olivia,15,80
Everybody Doesn't,Amanda,81,96
Who's That Girl?,Eve,47,99
Around The World (La La La La La),ATC,28,97
Breathless,The Corrs,34,83
Butterfly,Crazy Town,1,50
Jaded,Aerosmith,7,53
Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,13,86
There It Is,Ginuwine,66,100
Who I Am,Jessica Andrews,28,73
If My Heart Had Wings,Faith Hill,39,99
One More Day,Diamond Rio,29,56
One Step Closer,Linkin Park,75,97
Outside,Aaron Lewis Of Staind With Fred Durst,56,100
Southern Hospitality,Ludacris,23,81
Stranger In My House,Tamia,10,43
After Party,Koffee Brown,44,94
Crazy,K-Ci & JoJo,11,43
Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,82,96
Let's Get Dirty (I Can't Get In Da Club),Redman Featuring DJ Kool,97,100
One More Time,Daft Punk,61,99
Puppy Love,Lil Bow Wow Featuring Jagged Edge,75,92
She Misses Him,Tim Rushlow,59,97
The Way You Love Me,Faith Hill,6,48
Chickenhead,Project Pat,87,95
Don't Talk,Jon B,58,98
Free,Mya,42,99
Just Another Girl,Monica,64,100
Request Line,The Black Eyed Peas Featuring Macy Gray,63,94
Rose Bouquet,Phil Vassar,78,90
Lady (Hear Me Tonight),Modjo,81,96
Promise,Jagged Edge,9,47
You Make Me Sick,P!nk,33,100
You Shouldn't Kiss Me Like This,Toby Keith,32,57
But For The Grace Of God,Keith Urban,37,81
Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek",86,98
Pour Me,Trick Pony,71,94
That's How I Beat Shaq,Aaron Carter,96,100
There Is No Arizona,Jamie O'Neal,40,91
Could It Be,Jaheim,26,76
Danger (Been So Long),Mystikal Featuring Nivea,14,62
Don't Tell Me,Madonna,4,45
"Like, Wow!",Leslie Carter,99,99
Love Don't Cost A Thing,Jennifer Lopez,3,48
Soul Sista,Bilal,71,98
Too Little Too Late,Barenaked Ladies,86,100
Bow Wow (That's My Name),Lil Bow Wow,21,92
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",1,44
It's Over Now,112,6,52
My Everything,98 Degrees,34,95
No More (Baby I'ma Do Right),3LW,23,35
One Woman Man,Dave Hollister,44,97
Thank You For Loving Me,Bon Jovi,57,100
Burn,Jo Dee Messina,42,94
Ms. Jackson,OutKast,1,50
Crazy For This Girl,Evan And Jaron,15,30
Emotional,Carl Thomas,47,99
He Loves U Not,Dream,2,46
I Did It,Dave Matthews Band,71,98
Kryptonite,3 Doors Down,3,49
Ashes By Now,Lee Ann Womack,45,93
Babylon,David Gray,57,97
By Your Side,Sade,75,95
Cross The Border,Philly's Most Wanted,98,100
Independent Women Part I,Destiny's Child,1,31
Lucky 4 You (Tonight I'm Just Me),SHeDAISY,79,89
Tell Her,Lonestar,39,99
With Arms Wide Open,Creed,1,41
Beautiful Day,U2,21,46
Hemorrhage (In My Hands),Fuel,30,47
The Call,Backstreet Boys,52,97
This Everyday Love,Rascal Flatts,56,100
This I Promise You,'N Sync,5,49
Wild Horses,Garth Brooks,50,90
A Good Day To Run,Darryl Worley,76,99
Get Crunked Up,Iconz Featuring Tony Manshino,93,100
I Just Wanna Love U (Give It 2 Me),JAY-Z,11,40
My First Love,Avant Featuring KeKe Wyatt,26,79
Case Of The Ex (Whatcha Gonna Do),Mya,2,35
Cha-Cha Slide,Mr. C The Slide Man,83,100
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,68,92
Liquid Dreams,O-Town,10,59
Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,83,97
Project Chick,Cash Money Millionaires,47,91
So In Love With Two,Mikaila,25,95
Stronger,Britney Spears,11,74
Born To Fly,Sara Evans,34,86
I Lost It,Kenny Chesney,34,92
Loser,3 Doors Down,55,70
My Next Thirty Years,Tim McGraw,27,62
Rollin',Limp Bizkit,65,100
Snoop Dogg,Snoop Dogg,77,91
X,Xzibit,76,99
Georgia,Carolyn Dawn Johnson,98,100
I Wish,R. Kelly,14,48
Just Friends (Sunny),Musiq,31,68
Shape Of My Heart,Backstreet Boys,9,70
Still On Your Side,BBMak,54,92
We Danced,Brad Paisley,29,86
What's Your Fantasy,Ludacris Featuring Shawnna,21,47
You All Dat,Baha Men With Imani Coppola,94,97
E.I.,Nelly,15,38
Without You,Dixie Chicks,31,54
911,Wyclef Jean Featuring Mary J. Blige,38,96
Dance With Me,Debelah Morgan,8,49
Just Another Day In Paradise,Phil Vassar,35,79
Mamacita,Public Announcement,39,90
Most Girls,P!nk,4,46
Stan,Eminem Featuring Dido,51,100
www.memory,Alan Jackson,45,99
Gotta Tell You,Samantha Mumba,4,36
How Many Licks?,Lil' Kim Featuring Sisqo,75,96
Meanwhile Back At The Ranch,The Clark Family Experience,80,91
Oklahoma,Billy Gilman,63,94
She Bangs,Ricky Martin,12,100
You Should've Told Me,Kelly Price,64,92
Between Me And You,Ja Rule Featuring Christina Milian,11,53
Girls Dem Sugar,Beenie Man Featuring Mya,54,95
Liar,Profyle,14,99
My Baby You,Marc Anthony,70,90
Pinch Me,Barenaked Ladies,15,44
The Itch,Vitamin C,45,100
A Little Gasoline,Terri Clark,75,99
Bent,matchbox twenty,1,48
Bouncing Off The Ceiling (Upside Down),A*Teens,93,100
Feels Like Love,Vince Gill,52,89
Music,Madonna,1,44
Original Prankster,The Offspring,70,92
Thank You In Advance,Boyz II Men,80,97
The Little Girl,John Michael Montgomery,35,74
Best Of Intentions,Travis Tritt,27,48
Bounce With Me,Lil Bow Wow Featuring Xscape,20,100
Don't Think I'm Not,Kandi,24,41
Go On,George Strait,40,97
You're A God,Vertical Horizon,23,49
All Good?,De La Soul Featuring Chaka Khan,96,100
I Know,Sunday,98,98
Kiss This,Aaron Tippin,42,99
Open My Heart,Yolanda Adams,57,89
The Christmas Shoes,NewSong,42,42
Where Are You Christmas?,Faith Hill,65,65
Bag Lady,Erykah Badu,6,66
Give Me Just One Night (Una Noche),98 Degrees,2,94
If I Am,Nine Days,68,100
My Love Goes On And On,Chris Cagle,76,91
Come On Over Baby (All I Want Is You),Christina Aguilera,1,44
Do You,Funkmaster Flex Featuring DMX,91,100
It's My Life,Bon Jovi,33,87
No More,Ruff Endz,5,38
Shake Ya Ass,Mystikal,13,58
Straight Up,Chante Moore,83,98
(Hot S**t) Country Grammar,Nelly,7,49
Bad Boyz,Shyne Featuring Barrington Levy,57,100
Faded,SoulDecision Featuring Thrust,22,50
Incomplete,Sisqo,1,46
"Jumpin', Jumpin'",Destiny's Child,3,39
Pop Ya Collar,Usher,60,93
Spanish Guitar,Toni Braxton,98,98
That's The Kind Of Mood I'm In,Patty Loveless,71,91
What Means The World To You,Cam'ron,83,92
You Won't Be Lonely Now,Billy Ray Cyrus,80,95
Just Be A Man About It,Toni Braxton,32,90
Last Resort,Papa Roach,57,72
That Other Woman,Changing Faces,64,97
The Light,Common,44,99
Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,95,100
Aaron's Party (Come Get It),Aaron Carter,35,100
Californication,Red Hot Chili Peppers,69,97
Higher,Creed,7,49
Sleepwalker,The Wallflowers,73,96
Summer Rain,Carl Thomas,80,95
There You Are,Martina McBride,60,92
Who Let The Dogs Out,Baha Men,40,84
Back Here,BBMak,13,49
Change Your Mind,Sister Hazel,59,98
Doesn't Really Matter,Janet,1,41
He Wasn't Man Enough,Toni Braxton,2,48
I Will...But,SHeDAISY,43,87
Treat Her Like A Lady,Joe,63,100
Wonderful,Everclear,11,45
Deep Inside Of You,Third Eye Blind,69,93
Don't Call Me Baby,Madison Avenue,88,97
Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,76,94
It's Always Somethin',Joe Diffie,57,100
Souljas,Master P,98,98
Country Comes To Town,Toby Keith,54,93
I Need You,LeAnn Rimes,11,41
Let's Make Love,Faith Hill With Tim McGraw,54,91
What You Want,DMX Featuring Sisqo,49,100
Absolutely (Story Of A Girl),Nine Days,6,48
Breathe,Faith Hill,2,47
Desert Rose,Sting Featuring Cheb Mami,17,49
It Must Be Love,Alan Jackson,37,89
Taking You Home,Don Henley,58,87
That's The Way,Jo Dee Messina,25,59
Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,52,97
Everything You Want,Vertical Horizon,1,50
I Wanna Know,Joe,4,45
The Way I Am,Eminem,58,86
Toca's Miracle,Fragma,99,99
Your Everything,Keith Urban,51,100
Callin' Me,Lil' Zane Featuring 112,21,95
It's Gonna Be Me,'N Sync,1,48
Lucky,Britney Spears,23,100
One Voice,Billy Gilman,38,97
Try Again,Aaliyah,1,43
What About Now,Lonestar,30,69
Can't Go For That,Tamia,84,97
I Think I'm In Love With You,Jessica Simpson,21,96
Let's Get Married,Jagged Edge,11,47
What'Chu Like,Da Brat Featuring Tyrese,26,68
Wifey,Next,7,35
You'll Always Be Loved By Me,Brooks & Dunn,55,98
I Wanna Be With You,Mandy Moore,24,99
The Next Episode,Dr. Dre Featuring Snoop Dogg,23,58
There You Go,P!nk,7,44
Whatever,Ideal Featuring Lil' Mo,47,90
I Will Love Again,Lara Fabian,32,96
Pull Over,Trina,93,100
Purest Of Pain (A Puro Dolor),Son By Four,26,35
Sour Girl,Stone Temple Pilots,78,98
You Sang To Me,Marc Anthony,2,44
Dance Tonight,Lucy Pearl,36,92
I Disappear,Metallica,76,95
I'll Be,Reba McEntire,51,100
Simple Kind Of Life,No Doubt,38,98
Ta Da,Lil' Mo,95,99
Baby U Are,Gerald Levert,89,96
No Matter What They Say,Lil' Kim,60,97
Prayin' For Daylight,Rascal Flatts,38,77
The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,87,92
When You Need My Love,Darryl Worley,75,99
Flowers On The Wall,Eric Heatherly,50,89
I Turn To You,Christina Aguilera,3,50
Kernkraft 400,Zombie Nation,99,99
Separated,Avant,23,51
The Real Slim Shady,Eminem,4,98
As We Lay,Kelly Price,64,89
Big Pimpin',Jay-Z Featuring UGK,18,50
Broadway,Goo Goo Dolls,24,87
Oops!...I Did It Again,Britney Spears,9,96
Smooth,Santana Featuring Rob Thomas,1,48
The One,Backstreet Boys,30,100
Where I Wanna Be,Donell Jones,29,62
Cold Day In July,Dixie Chicks,65,91
I Think God Can Explain,Splender,62,100
The Chain Of Love,Clay Walker,40,95
West Side Story,LFO,84,96
Amazed,Lonestar,1,50
Better Off Alone,Alice Deejay,27,86
Crash And Burn,Savage Garden,24,87
I Try,Macy Gray,5,46
Imagine That,LL Cool J,98,98
Yes!,Chad Brock,22,59
Be With You,Enrique Iglesias,1,28
Got It All,Eve & Jadakiss,88,95
"Same Script, Different Cast",Whitney Houston & Deborah Cox,70,91
Some Things Never Change,Tim McGraw,58,93
Swear It Again,Westlife,20,56
Wobble Wobble,504 Boyz,17,96
Best Of Me,Mya Featuring Jadakiss,50,97
Cherchez LaGhost,Ghostface Killah,98,98
Crybaby,Mariah Carey Featuring Snoop Dogg,28,95
Dancing Queen,A*Teens,95,100
I Wish,Carl Thomas,20,67
Maria Maria,Santana Featuring The Product G&B,1,47
Shackles (Praise You),Mary Mary,28,94
Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",86,99
Thong Song,Sisqo,3,46
Unconditional,Clay Davidson,49,83
3 Little Words,Nu Flavor,89,98
Couldn't Last A Moment,Collin Raye,43,89
It's So Hard,Big Punisher Featuring Donell Jones,75,100
Mirror Mirror,M2M,62,96
Say My Name,Destiny's Child,1,47
Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",83,97
Someday Out Of The Blue,Elton John,49,99
Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,91
Carlene,Phil Vassar,45,100
She's More,Andy Griggs,37,85
What I Need To Do,Kenny Chesney,56,95
Monica,Before Dark,77,100
Party Up (Up In Here),DMX,27,43
Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,99,99
More,Trace Adkins,65,92
Otherside,Red Hot Chili Peppers,14,45
Riddle,En Vogue,92,100
You Owe Me,NAS Featuring Ginuwine,59,96
Been There,Clint Black With Steve Wariner,44,100
Bye Bye Bye,'N Sync,4,40
Graduation (Friends Forever),Vitamin C,38,87
It Feels So Good,Sonique,8,49
Only God Knows Why,Kid Rock,19,78
Back At One,Mark Wills,36,99
Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,51,96
Goodbye Earl,Dixie Chicks,19,98
That's What I'm Looking For,Da Brat,56,100
Whoa!,Black Rob,43,97
Another Nine Minutes,Yankee Grey,74,95
Give Me You,Mary J. Blige,68,100
I'm Outta Love,Anastacia,92,97
Love's The Only House,Martina McBride,42,90
Never Let You Go,Third Eye Blind,14,46
Nothing As It Seems,Pearl Jam,49,91
Whistle While You Twurk,Ying Yang Twins,74,99
From The Bottom Of My Broken Heart,Britney Spears,14,90
How Do You Like Me Now?!,Toby Keith,31,54
I Don't Wanna,Aaliyah,35,86
I Like It,Sammie,24,89
I Need To Know,Marc Anthony,3,48
Lessons Learned,Tracy Lawrence,40,100
No Me Dejes De Querer,Gloria Estefan,77,77
Show Me The Meaning Of Being Lonely,Backstreet Boys,6,47
The Best Day,George Strait,31,62
Forgot About Dre,Dr. Dre Featuring Eminem,25,82
I Knew I Loved You,Savage Garden,1,47
Love Sets You Free,Kelly Price & Friends,91,100
Me Neither,Brad Paisley,85,92
The Bad Touch,Bloodhound Gang,52,98
This Time Around,Hanson,20,95
Falls Apart,Sugar Ray,29,100
Get It On Tonite,Montell Jordan,4,42
Another Dumb Blonde,Hoku,27,100
I Belong To You,Lenny Kravitz,71,93
No Mercy,Ty Herndon,92,96
That's The Way It Is,Celine Dion,6,42
I Don't Wanna Kiss You Goodnight,LFO,61,91
I Need A Hot Girl,Hot Boys,65,100
Untitled (How Does It Feel),D'Angelo,25,94
All The Small Things,Blink-182,6,43
Back At One,Brian McKnight,2,48
Bring It All To Me,Blaque,5,42
It Was,Chely Wright,64,98
"Left, Right, Left",Drama,73,96
Mr. Too Damn Good,Gerald Levert,76,97
Real Live Woman,Trisha Yearwood,81,91
U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,62,100
What A Girl Wants,Christina Aguilera,1,44
Where You Are,Jessica Simpson Featuring Nick Lachey,62,93
I Learned From The Best,Whitney Houston,27,82
If You Don't Wanna Love Me,Tamar Braxton,89,93
"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,97
Smile,Lonestar,39,91
Because You Love Me,Jo Dee Messina,53,93
Blue (Da Ba Dee),Eiffel 65,6,88
He Can't Love U,Jagged Edge,15,77
Love Is Blind,Eve Featuring Faith Evans,34,99
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,89
Then The Morning Comes,Smash Mouth,11,48
American Pie,Madonna,29,88
Anything,JAY-Z,55,92
Can't Stay,Dave Hollister,84,98
Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,38
My Best Friend,Tim McGraw,29,48
No Leaf Clover,Metallica,74,95
No More Rain (In This Cloud),Angie Stone,56,100
One Night Stand,J-Shin Featuring LaTocha Scott,34,99
Stay Or Let It Go,Brian McKnight,76,93
Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,72,99
Cowboy Take Me Away,Dixie Chicks,27,59
Daddy Won't Sell The Farm,Montgomery Gentry,79,96
G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,94
Meet Virginia,Train,20,50
Private Emotion,Ricky Martin Featuring Meja,67,89
Take A Picture,Filter,12,42
Got To Get It,Sisqo Featuring Make It Hot,40,95
Re-arranged,Limp Bizkit,88,100
This Woman Needs,SHeDAISY,57,82
Angels,Robbie Williams,53,95
Dear Lie,TLC,51,92
Do What You Gotta Do,Garth Brooks,69,77
Rhythm Divine,Enrique Iglesias,32,96
The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,89
The Great Beyond,R.E.M.,57,91
What's My Name,DMX,67,100
24-Jul,Kevon Edmonds,10,87
Get Up,Amel Larrieux,97,97
Hanginaround,Counting Crows,28,66
If You Love Me,Mint Condition,30,96
None Of Ur Friends Business,Ginuwine,48,92
Put Your Hand In Mine,Tracy Byrd,76,99
Shake Your Bon-Bon,Ricky Martin,22,93
Still In My Heart,Tracie Spencer,88,98
Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,59,99
Candy,Mandy Moore,41,86
Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,95
Girl On TV,LFO,10,94
Guerrilla Radio,Rage Against The Machine,69,98
My Love Is Your Love,Whitney Houston,4,49
Pop A Top,Alan Jackson,43,100
U Understand,Juvenile,83,96
What Do You Say,Reba,31,71
Freakin' It,Will Smith,99,99
Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,56
He Didn't Have To Be,Brad Paisley,30,67
Learn To Fly,Foo Fighters,19,50
U Know What's Up,Donell Jones,7,45
Big Deal,LeAnn Rimes,23,70
Black Balloon,Goo Goo Dolls,16,53
Dancin',Guy,19,94
I Wanna Love You Forever,Jessica Simpson,3,54
Sexual (Li Da Di),Amber,42,50
Waiting For Tonight,Jennifer Lopez,8,74
When I Said I Do,Clint Black,31,84
Breathe And Stop,Q-Tip,71,96
Caught Out There,Kelis,54,90
Deep Inside,Mary J. Blige,63,94
Smoke Rings In The Dark,Gary Allan,76,92
Stay The Night,IMx,23,78
You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,35,89
"4, 5, 6",Sole Featuring JT Money & Kandi,21,94
Home To You,John Michael Montgomery,45,90
L.A. Song,Beth Hart,90,97
